Date,Close/Last,Open,High,Low
06/13/2025,21631.04,21675.94,21838.47,21591.11
06/12/2025,21913.32,21826.79,21952.00,21807.00
06/11/2025,21860.80,21994.16,22041.83,21775.27
06/10/2025,21941.92,21819.78,21961.42,21727.34
06/09/2025,21797.87,21779.18,21855.15,21729.30
06/06/2025,21761.79,21777.50,21836.57,21696.69
06/05/2025,21547.43,21782.34,21891.89,21472.76
06/04/2025,21721.92,21689.02,21761.37,21607.33
06/03/2025,21662.58,21529.98,21715.96,21474.51
06/02/2025,21491.75,21270.57,21500.36,21199.37
05/30/2025,21340.99,21330.85,21386.29,21032.56
05/29/2025,21363.95,21611.54,21611.54,21260.72
05/28/2025,21318.17,21451.69,21508.08,21296.51
05/27/2025,21414.99,21201.45,21429.32,21145.13
05/23/2025,20915.65,20806.37,21025.58,20777.97
05/22/2025,21112.47,21097.46,21263.18,21046.22
05/21/2025,21080.36,21217.31,21482.98,21002.09
05/20/2025,21367.37,21347.63,21399.99,21226.66
05/19/2025,21447.05,21138.13,21464.56,21138.13
05/16/2025,21427.94,21375.62,21428.79,21246.42
05/15/2025,21335.82,21206.73,21443.88,21168.17
05/14/2025,21319.21,21254.47,21336.48,21199.85
05/13/2025,21197.70,20906.92,21259.39,20891.18
05/12/2025,20868.15,20818.78,20870.12,20613.27
05/09/2025,20061.45,20170.37,20203.58,19984.53
05/08/2025,20063.57,20067.43,20249.76,19907.67
05/07/2025,19867.97,19804.50,19960.86,19605.07
05/06/2025,19791.34,19709.64,19927.23,19659.32
05/05/2025,19967.94,19928.82,20100.61,19899.28
05/02/2025,20102.61,19986.61,20176.60,19936.67
05/01/2025,19786.71,19866.83,20024.48,19763.14
04/30/2025,19571.02,19168.09,19612.76,19011.98
04/29/2025,19544.95,19315.95,19582.77,19304.83
04/28/2025,19427.29,19432.72,19519.33,19162.46
04/25/2025,19432.56,19209.72,19447.56,19133.23
04/24/2025,19214.40,18756.53,19224.80,18744.47
04/23/2025,18693.26,18870.62,19043.01,18618.89
04/22/2025,18276.41,18033.90,18396.39,17993.24
04/21/2025,17808.30,18023.01,18043.08,17592.92
04/17/2025,18258.09,18369.90,18401.05,18144.46
04/16/2025,18257.64,18475.76,18597.32,17995.96
04/15/2025,18830.23,18831.98,19004.17,18754.87
04/14/2025,18796.02,19095.49,19115.15,18614.75
04/11/2025,18690.05,18309.29,18728.95,18153.32
04/10/2025,18343.57,18626.11,18710.58,17794.50
04/09/2025,19145.06,17116.53,19234.02,17082.35
04/08/2025,17090.40,18034.46,18207.01,16850.18
04/07/2025,17430.68,16771.77,18191.50,16542.20
04/04/2025,17397.69,18022.16,18089.25,17387.83
04/03/2025,18521.48,18774.15,18902.07,18502.97
04/02/2025,19581.78,19182.39,19707.34,19157.20
04/01/2025,19436.42,19192.77,19468.62,19095.17
03/31/2025,19278.45,18998.54,19316.07,18799.20
03/28/2025,19281.40,19718.46,19752.45,19241.54
03/27/2025,19798.62,19814.61,20003.36,19740.22
03/26/2025,19916.99,20239.05,20270.19,19848.49
03/25/2025,20287.83,20196.50,20292.19,20164.07
03/24/2025,20180.44,20041.21,20208.84,20024.97
03/21/2025,19753.97,19466.44,19767.98,19409.18
03/20/2025,19677.61,19558.28,19888.85,19549.31
03/19/2025,19736.66,19576.32,19921.62,19497.79
03/18/2025,19483.36,19657.10,19676.05,19397.07
03/17/2025,19812.24,19670.69,19943.81,19622.47
03/14/2025,19704.64,19458.89,19729.21,19436.04
03/13/2025,19225.48,19534.37,19558.56,19152.57
03/12/2025,19596.02,19663.39,19756.09,19375.25
03/11/2025,19376.96,19405.52,19659.43,19180.56
03/10/2025,19430.95,19826.96,19867.08,19243.31
03/07/2025,20201.37,20015.62,20253.22,19736.81
03/06/2025,20052.63,20231.74,20473.40,19968.56
03/05/2025,20628.46,20363.22,20688.72,20182.57
03/04/2025,20352.53,20281.89,20688.46,20034.68
03/03/2025,20425.58,20989.58,21073.80,20279.50
02/28/2025,20884.41,20518.65,20900.77,20407.45
02/27/2025,20550.95,21281.36,21323.91,20540.68
02/26/2025,21132.92,21170.51,21350.52,21012.62
02/25/2025,21087.25,21318.77,21326.81,20930.58
02/24/2025,21352.08,21669.36,21727.58,21341.96
02/21/2025,21614.08,22110.54,22115.21,21597.16
02/20/2025,22068.06,22132.71,22148.44,21878.75
02/19/2025,22175.60,22121.73,22222.61,22045.75
02/18/2025,22164.61,22176.01,22191.37,22029.58
02/14/2025,22114.69,22038.61,22139.43,22010.35
02/13/2025,22030.71,21786.16,22038.15,21758.04
02/12/2025,21719.26,21475.41,21745.66,21454.19
02/11/2025,21693.52,21629.11,21776.25,21625.51
02/10/2025,21756.73,21670.06,21793.13,21645.17
02/07/2025,21491.31,21776.28,21869.32,21465.46
02/06/2025,21774.07,21674.17,21776.08,21618.25
02/05/2025,21658.16,21453.87,21662.98,21408.64
02/04/2025,21566.92,21319.58,21582.40,21308.24
02/03/2025,21297.58,21084.64,21406.58,21004.35
01/31/2025,21478.05,21661.56,21846.01,21425.79
01/30/2025,21508.12,21519.81,21623.45,21308.69
01/29/2025,21411.46,21473.01,21477.88,21251.80
01/28/2025,21463.04,21186.08,21500.73,21043.13
01/27/2025,21127.28,21000.17,21292.54,20974.90
01/24/2025,21774.01,21915.48,21945.48,21709.06
01/23/2025,21900.93,21737.24,21900.93,21722.04
01/22/2025,21853.00,21756.23,21943.04,21756.23
01/21/2025,21566.51,21557.82,21620.23,21379.06
01/17/2025,21441.15,21461.90,21515.76,21334.63
01/16/2025,21091.25,21324.97,21330.59,21087.85
01/15/2025,21237.85,21067.81,21286.01,21024.27
01/14/2025,20757.41,20896.36,20969.52,20622.72
01/13/2025,20784.72,20593.65,20797.10,20538.33
01/10/2025,20847.58,21012.29,21015.51,20718.78
01/08/2025,21180.96,21156.76,21242.61,20992.08
01/07/2025,21173.04,21619.89,21621.25,21101.09
01/06/2025,21559.50,21551.18,21703.49,21462.52
01/03/2025,21326.16,21096.79,21359.63,21075.89
01/02/2025,20975.62,21120.05,21236.59,20800.50
12/31/2024,21012.17,21256.02,21276.14,20979.52
12/30/2024,21197.09,21189.10,21346.06,21046.63
